"","x"
"1",-0.125290762148466
"2",0.0367286648444164
"3",-0.167125722482009
"4",0.319056160427558
"5",0.0659015543630721
"6",-0.164093676823603
"7",0.0974858104856971
"8",0.147664941025843
"9",0.115156270330698
"10",-0.0610776774312712
"11",0.30235623369017
"12",0.0779686472822862
"13",-0.124248116108361
"14",-0.4429399774355
"15",0.224986183628622
"16",-0.00898672180304617
"17",-0.00323805261978922
"18",0.18876724213706
"19",0.164244239019618
"20",0.118780264243502
"21",0.183795474321644
"22",0.156427260146213
"23",0.0149129966730381
"24",-0.397870339172675
"25",0.123965149578942
"26",-0.0112257479058002
"27",-0.0311591013410659
"28",-0.294150476779855
"29",-0.0956300110217241
"30",0.0835883120399405
"31",0.271735910305809
"32",-0.0205575454685991
"33",0.0775343223118738
"34",-0.010761008116581
"35",-0.275411911365721
"36",-0.082998912659936
"37",-0.0788579907420699
"38",-0.0118626793422371
"39",0.220005074396777
"40",0.152635149691509
"41",-0.0329047192507174
"42",-0.0506723360273015
"43",0.139392675080947
"44",0.111332639734731
"45",-0.137751138909904
"46",-0.141499031392424
"47",0.0729163924273661
"48",0.153706584903083
"49",-0.0224692424300456
"50",0.176221545290843
"51",0.0796211760734136
"52",-0.122405278650154
"53",0.068223938284885
"54",-0.225872619216159
"55",0.286604740340207
"56",0.396079979701172
"57",-0.0734442952933018
"58",-0.208826925263306
"59",0.113943925488483
"60",-0.0270109207761649
"61",0.480323552100955
"62",-0.00784800054663385
"63",0.137947872490155
"64",0.00560043175613321
"65",-0.148654641776481
"66",0.0377584599028686
"67",-0.360991725778208
"68",0.293110972312577
"69",0.0306506676423795
"70",0.434522334072431
"71",0.0951019057799325
"72",-0.141989286184363
"73",0.122145270697811
"74",-0.18681952632885
"75",-0.25072668004782
"76",0.0582892471034926
"77",-0.0886583746436866
"78",0.000221070326324826
"79",0.0148682648303328
"80",-0.117904189237614
"81",-0.1137337465637
"82",-0.0270357230247664
"83",0.235617399314641
"84",-0.304713360085952
"85",0.118789237525684
"86",0.0665900742427037
"87",0.212619967455273
"88",-0.0608367847268601
"89",0.0740037619832576
"90",0.0534197581544462
"91",-0.10850400619833
"92",0.241573561196634
"93",0.23208052313899
"94",0.140042729903
"95",0.317366690908169
"96",0.111697285113061
"97",-0.255318441691607
"98",-0.114653082847377
"99",-0.244922522979671
"100",-0.0946801272878623
